week,date,time,home_team,away_team,home_team_score,away_team_score,home_team_logo,away_team_logo
Week 9,28/09,20:45,FCV Dender EH,Anderlecht,,,https://static.sportid.be/images/soccer/teams/dender.png,https://static.sportid.be/images/soccer/teams/anderlecht.png
Week 9,29/09,13:30,Antwerp,Beerschot,,,https://static.sportid.be/images/soccer/teams/rafc_logo_01.png,https://static.sportid.be/images/soccer/teams/beerschot.png
Week 9,29/09,16:00,Union SG,KV Courtrai,,,https://static.sportid.be/images/soccer/teams/union_sg.png,https://static.sportid.be/images/soccer/teams/kortrijk.png
Week 9,29/09,18:30,La Gantoise,OH Louvain,,,https://static.sportid.be/images/soccer/teams/aagent.png,https://static.sportid.be/images/soccer/teams/ohl.png
Week 9,29/09,19:15,Cercle de Bruges,STVV,,,https://static.sportid.be/images/soccer/teams/cercle_brugge.png,https://static.sportid.be/images/soccer/teams/sinttruiden.png
Week 10,04/10,20:45,Westerlo,Beerschot,,,https://static.sportid.be/images/soccer/teams/westerlo.png,https://static.sportid.be/images/soccer/teams/beerschot.png
Week 10,05/10,16:00,KV Malines,OH Louvain,,,https://static.sportid.be/images/soccer/teams/kvmechelen.png,https://static.sportid.be/images/soccer/teams/ohl.png
Week 10,05/10,18:15,KV Courtrai,KRC Genk,,,https://static.sportid.be/images/soccer/teams/kortrijk.png,https://static.sportid.be/images/soccer/teams/racinggenk.png
Week 10,05/10,20:45,FCV Dender EH,Charleroi,,,https://static.sportid.be/images/soccer/teams/dender.png,https://static.sportid.be/images/soccer/teams/charleroi.png
Week 10,06/10,13:30,Anderlecht,Standard,,,https://static.sportid.be/images/soccer/teams/anderlecht.png,https://static.sportid.be/images/soccer/teams/standard.png
Week 10,06/10,16:00,Antwerp,Cercle de Bruges,,,https://static.sportid.be/images/soccer/teams/rafc_logo_01.png,https://static.sportid.be/images/soccer/teams/cercle_brugge.png
Week 10,06/10,18:30,FC Bruges,Union SG,,,https://static.sportid.be/images/soccer/teams/clubbrugge.png,https://static.sportid.be/images/soccer/teams/union_sg.png
Week 10,06/10,19:15,STVV,La Gantoise,,,https://static.sportid.be/images/soccer/teams/sinttruiden.png,https://static.sportid.be/images/soccer/teams/aagent.png
Week 11,18/10,20:45,Beerschot,Anderlecht,,,https://static.sportid.be/images/soccer/teams/beerschot.png,https://static.sportid.be/images/soccer/teams/anderlecht.png
Week 11,19/10,16:00,Westerlo,FC Bruges,,,https://static.sportid.be/images/soccer/teams/westerlo.png,https://static.sportid.be/images/soccer/teams/clubbrugge.png
Week 11,19/10,18:15,Cercle de Bruges,FCV Dender EH,,,https://static.sportid.be/images/soccer/teams/cercle_brugge.png,https://static.sportid.be/images/soccer/teams/dender.png
Week 11,19/10,20:45,Union SG,La Gantoise,,,https://static.sportid.be/images/soccer/teams/union_sg.png,https://static.sportid.be/images/soccer/teams/aagent.png
Week 11,20/10,13:30,KRC Genk,STVV,,,https://static.sportid.be/images/soccer/teams/racinggenk.png,https://static.sportid.be/images/soccer/teams/sinttruiden.png
Week 11,20/10,16:00,OH Louvain,Antwerp,,,https://static.sportid.be/images/soccer/teams/ohl.png,https://static.sportid.be/images/soccer/teams/rafc_logo_01.png
Week 11,20/10,18:30,Standard,Charleroi,,,https://static.sportid.be/images/soccer/teams/standard.png,https://static.sportid.be/images/soccer/teams/charleroi.png
Week 11,20/10,19:15,KV Malines,KV Courtrai,,,https://static.sportid.be/images/soccer/teams/kvmechelen.png,https://static.sportid.be/images/soccer/teams/kortrijk.png
Week 12,25/10,20:45,KV Courtrai,Beerschot,,,https://static.sportid.be/images/soccer/teams/kortrijk.png,https://static.sportid.be/images/soccer/teams/beerschot.png
Week 12,26/10,16:00,Charleroi,OH Louvain,,,https://static.sportid.be/images/soccer/teams/charleroi.png,https://static.sportid.be/images/soccer/teams/ohl.png
Week 12,26/10,18:15,FCV Dender EH,KV Malines,,,https://static.sportid.be/images/soccer/teams/dender.png,https://static.sportid.be/images/soccer/teams/kvmechelen.png
Week 12,26/10,20:45,STVV,Westerlo,,,https://static.sportid.be/images/soccer/teams/sinttruiden.png,https://static.sportid.be/images/soccer/teams/westerlo.png
Week 12,27/10,13:30,FC Bruges,Anderlecht,,,https://static.sportid.be/images/soccer/teams/clubbrugge.png,https://static.sportid.be/images/soccer/teams/anderlecht.png
Week 12,27/10,16:00,Antwerp,Standard,,,https://static.sportid.be/images/soccer/teams/rafc_logo_01.png,https://static.sportid.be/images/soccer/teams/standard.png
Week 12,27/10,18:30,La Gantoise,KRC Genk,,,https://static.sportid.be/images/soccer/teams/aagent.png,https://static.sportid.be/images/soccer/teams/racinggenk.png
Week 12,27/10,19:15,Union SG,Cercle de Bruges,,,https://static.sportid.be/images/soccer/teams/union_sg.png,https://static.sportid.be/images/soccer/teams/cercle_brugge.png
Week 13,01/11,20:45,Westerlo,FCV Dender EH,,,https://static.sportid.be/images/soccer/teams/westerlo.png,https://static.sportid.be/images/soccer/teams/dender.png
Week 13,02/11,16:00,Standard,STVV,,,https://static.sportid.be/images/soccer/teams/standard.png,https://static.sportid.be/images/soccer/teams/sinttruiden.png
Week 13,02/11,18:15,OH Louvain,FC Bruges,,,https://static.sportid.be/images/soccer/teams/ohl.png,https://static.sportid.be/images/soccer/teams/clubbrugge.png
Week 13,02/11,20:45,KV Malines,Union SG,,,https://static.sportid.be/images/soccer/teams/kvmechelen.png,https://static.sportid.be/images/soccer/teams/union_sg.png
Week 13,03/11,13:30,KRC Genk,Antwerp,,,https://static.sportid.be/images/soccer/teams/racinggenk.png,https://static.sportid.be/images/soccer/teams/rafc_logo_01.png
Week 13,03/11,16:00,Cercle de Bruges,Charleroi,,,https://static.sportid.be/images/soccer/teams/cercle_brugge.png,https://static.sportid.be/images/soccer/teams/charleroi.png
Week 13,03/11,18:30,Anderlecht,KV Courtrai,,,https://static.sportid.be/images/soccer/teams/anderlecht.png,https://static.sportid.be/images/soccer/teams/kortrijk.png
Week 13,03/11,19:15,Beerschot,La Gantoise,,,https://static.sportid.be/images/soccer/teams/beerschot.png,https://static.sportid.be/images/soccer/teams/aagent.png
Week 14,08/11,20:45,STVV,KV Malines,,,https://static.sportid.be/images/soccer/teams/sinttruiden.png,https://static.sportid.be/images/soccer/teams/kvmechelen.png
Week 14,09/11,16:00,KV Courtrai,Antwerp,,,https://static.sportid.be/images/soccer/teams/kortrijk.png,https://static.sportid.be/images/soccer/teams/rafc_logo_01.png
Week 14,09/11,18:15,FCV Dender EH,OH Louvain,,,https://static.sportid.be/images/soccer/teams/dender.png,https://static.sportid.be/images/soccer/teams/ohl.png
Week 14,09/11,20:45,Charleroi,Westerlo,,,https://static.sportid.be/images/soccer/teams/charleroi.png,https://static.sportid.be/images/soccer/teams/westerlo.png
Week 14,10/11,13:30,Cercle de Bruges,Anderlecht,,,https://static.sportid.be/images/soccer/teams/cercle_brugge.png,https://static.sportid.be/images/soccer/teams/anderlecht.png
Week 14,10/11,16:00,La Gantoise,Standard,,,https://static.sportid.be/images/soccer/teams/aagent.png,https://static.sportid.be/images/soccer/teams/standard.png
Week 14,10/11,18:30,Union SG,KRC Genk,,,https://static.sportid.be/images/soccer/teams/union_sg.png,https://static.sportid.be/images/soccer/teams/racinggenk.png
Week 14,10/11,19:15,Beerschot,FC Bruges,,,https://static.sportid.be/images/soccer/teams/beerschot.png,https://static.sportid.be/images/soccer/teams/clubbrugge.png
Week 15,22/11,20:45,Antwerp,FCV Dender EH,,,https://static.sportid.be/images/soccer/teams/rafc_logo_01.png,https://static.sportid.be/images/soccer/teams/dender.png
Week 15,23/11,16:00,FC Bruges,STVV,,,https://static.sportid.be/images/soccer/teams/clubbrugge.png,https://static.sportid.be/images/soccer/teams/sinttruiden.png
Week 15,23/11,18:15,Standard,Cercle de Bruges,,,https://static.sportid.be/images/soccer/teams/standard.png,https://static.sportid.be/images/soccer/teams/cercle_brugge.png
Week 15,23/11,20:45,KRC Genk,Charleroi,,,https://static.sportid.be/images/soccer/teams/racinggenk.png,https://static.sportid.be/images/soccer/teams/charleroi.png
